Baseline,Correlated,MIC
建筑材料_denoised,家用电器_denoised,0.6154841400699638
国防军工_denoised,汽车_denoised,0.607981662890987
电力设备_denoised,传媒_denoised,0.6069369717363646
电力设备_denoised,纺织服饰_denoised,0.6067611462961572
电力设备_denoised,轻工制造_denoised,0.6056472198916144
煤炭_denoised,综合_denoised,0.6054405283267064
医药生物_denoised,基础化工_denoised,0.6024600258658637
通信_denoised,建筑装饰_denoised,0.5976406202628448
国防军工_denoised,有色金属_denoised,0.5955934307920195
社会服务_denoised,纺织服饰_denoised,0.5939398076141519
纺织服饰_denoised,基础化工_denoised,0.5936895712991993
通信_denoised,食品饮料_denoised,0.5935857557738472
房地产_denoised,传媒_denoised,0.592335144227765
综合_denoised,基础化工_denoised,0.5882477282936115
通信_denoised,交通运输_denoised,0.5852100747473827
美容护理_denoised,汽车_denoised,0.5829839377102517
轻工制造_denoised,电子_denoised,0.5816003478385393
煤炭_denoised,基础化工_denoised,0.5806867417326608
煤炭_denoised,汽车_denoised,0.5805783740262527
电子_denoised,农林牧渔_denoised,0.5776524742866976
家用电器_denoised,电子_denoised,0.5754663944606703
社会服务_denoised,轻工制造_denoised,0.571955428332243
煤炭_denoised,商贸零售_denoised,0.5695894418691153
家用电器_denoised,传媒_denoised,0.5669263586282655
医药生物_denoised,家用电器_denoised,0.5662495012914587
轻工制造_denoised,家用电器_denoised,0.5659561158661434
计算机_denoised,传媒_denoised,0.565621097750824
房地产_denoised,电子_denoised,0.5654676594420688
综合_denoised,传媒_denoised,0.5639267418180434
社会服务_denoised,商贸零售_denoised,0.5636273613821932
纺织服饰_denoised,非银金融_denoised,0.5628304369128077
电子_denoised,有色金属_denoised,0.5614940244519073
通信_denoised,公用事业_denoised,0.5606667718806403
石油石化_denoised,机械设备_denoised,0.5598160471616664
建筑材料_denoised,社会服务_denoised,0.5597678030020872
美容护理_denoised,有色金属_denoised,0.5591675886579234
电力设备_denoised,交通运输_denoised,0.557710931751768
机械设备_denoised,商贸零售_denoised,0.5570288561486437
电力设备_denoised,公用事业_denoised,0.5566468954903908
食品饮料_denoised,钢铁_denoised,0.552561373778936
煤炭_denoised,电力设备_denoised,0.5505001270941503
通信_denoised,综合_denoised,0.5494795008607073
房地产_denoised,有色金属_denoised,0.5472477215338198
石油石化_denoised,公用事业_denoised,0.5470022383645643
轻工制造_denoised,有色金属_denoised,0.5450311187946829
有色金属_denoised,传媒_denoised,0.5450203967998037
社会服务_denoised,家用电器_denoised,0.5445256888315743
综合_denoised,电子_denoised,0.5442986323882928
石油石化_denoised,钢铁_denoised,0.5409077780317679
社会服务_denoised,传媒_denoised,0.5393800988388799
汽车_denoised,电子_denoised,0.5383820034693231
食品饮料_denoised,非银金融_denoised,0.5383263358280641
美容护理_denoised,通信_denoised,0.5369327056511808
纺织服饰_denoised,有色金属_denoised,0.5359925592960892
医药生物_denoised,轻工制造_denoised,0.5359681970559935
石油石化_denoised,有色金属_denoised,0.5356269617517622
综合_denoised,房地产_denoised,0.5353491058190188
电力设备_denoised,建筑装饰_denoised,0.5350747804387191
社会服务_denoised,有色金属_denoised,0.5339745381849379
环保_denoised,基础化工_denoised,0.5332464043396825
通信_denoised,传媒_denoised,0.5324884562612708
煤炭_denoised,机械设备_denoised,0.5313449808486947
纺织服饰_denoised,电子_denoised,0.5311654081873975
国防军工_denoised,基础化工_denoised,0.5277525249716504
银行_denoised,食品饮料_denoised,0.5243401322530684
建筑材料_denoised,基础化工_denoised,0.5241344219918194
房地产_denoised,非银金融_denoised,0.5239521519775246
美容护理_denoised,房地产_denoised,0.5239387018728614
医药生物_denoised,农林牧渔_denoised,0.5215931994793618
建筑装饰_denoised,综合_denoised,0.5212643921982484
国防军工_denoised,轻工制造_denoised,0.520161669514199
煤炭_denoised,钢铁_denoised,0.5198074828547761
建筑材料_denoised,农林牧渔_denoised,0.5187354352884459
美容护理_denoised,家用电器_denoised,0.5176996088302127
商贸零售_denoised,汽车_denoised,0.5171185446474165
美容护理_denoised,纺织服饰_denoised,0.5160106365146989
机械设备_denoised,公用事业_denoised,0.5158951874578142
社会服务_denoised,交通运输_denoised,0.514322917933253
综合_denoised,社会服务_denoised,0.5132170028870404
基础化工_denoised,农林牧渔_denoised,0.512593745994332
综合_denoised,家用电器_denoised,0.5121525739128568
交通运输_denoised,基础化工_denoised,0.5084680044649992
综合_denoised,交通运输_denoised,0.5083924638563468
社会服务_denoised,农林牧渔_denoised,0.5063178954725789
通信_denoised,社会服务_denoised,0.5042871554132072
社会服务_denoised,汽车_denoised,0.5042425570477671
公用事业_denoised,有色金属_denoised,0.5034564819348831
美容护理_denoised,轻工制造_denoised,0.5024834245137646
煤炭_denoised,食品饮料_denoised,0.5004483437007493
社会服务_denoised,公用事业_denoised,0.49984954754181776
计算机_denoised,基础化工_denoised,0.4998481204028273
交通运输_denoised,家用电器_denoised,0.49932137332692383
计算机_denoised,社会服务_denoised,0.49723955112368234
环保_denoised,电子_denoised,0.4968203553308999
计算机_denoised,农林牧渔_denoised,0.49642134461272386
商贸零售_denoised,电子_denoised,0.4963050489805036
建筑装饰_denoised,基础化工_denoised,0.4961102204916613
计算机_denoised,食品饮料_denoised,0.49553200182910195
通信_denoised,计算机_denoised,0.4924641923629712
美容护理_denoised,农林牧渔_denoised,0.4915814750716334
医药生物_denoised,传媒_denoised,0.4906565261548287
煤炭_denoised,社会服务_denoised,0.4900561301543547
银行_denoised,家用电器_denoised,0.4894304600660764
电力设备_denoised,农林牧渔_denoised,0.48935361662518206
煤炭_denoised,纺织服饰_denoised,0.48927595066691637
环保_denoised,社会服务_denoised,0.48763674530411133
计算机_denoised,电子_denoised,0.4873363893500765
公用事业_denoised,基础化工_denoised,0.4872279107266703
电力设备_denoised,建筑材料_denoised,0.48488087075670355
公用事业_denoised,家用电器_denoised,0.48185188426702674
环保_denoised,有色金属_denoised,0.48135788603556645
医药生物_denoised,汽车_denoised,0.4809197224298334
美容护理_denoised,交通运输_denoised,0.4804789934112764
建筑材料_denoised,轻工制造_denoised,0.48029137876981903
石油石化_denoised,汽车_denoised,0.47968895551844953
纺织服饰_denoised,家用电器_denoised,0.4794585367985503
建筑装饰_denoised,社会服务_denoised,0.4784096314094816
美容护理_denoised,计算机_denoised,0.4778244901023807
国防军工_denoised,社会服务_denoised,0.4752242393555176
煤炭_denoised,房地产_denoised,0.4749439796492336
建筑装饰_denoised,家用电器_denoised,0.47469570196585265
纺织服饰_denoised,汽车_denoised,0.47440826608074305
家用电器_denoised,非银金融_denoised,0.47371990026336297
石油石化_denoised,综合_denoised,0.4736805067408247
计算机_denoised,电力设备_denoised,0.4726751485510428
美容护理_denoised,商贸零售_denoised,0.471752211655299
通信_denoised,电子_denoised,0.47072565533781113
计算机_denoised,家用电器_denoised,0.4700499310674165
石油石化_denoised,基础化工_denoised,0.4698078666910684
机械设备_denoised,纺织服饰_denoised,0.4695870922350134
公用事业_denoised,汽车_denoised,0.46863599418690705
综合_denoised,医药生物_denoised,0.46826668189503423
计算机_denoised,机械设备_denoised,0.46816411434508615
房地产_denoised,汽车_denoised,0.46785018733864936
建筑材料_denoised,银行_denoised,0.46720001381282034
计算机_denoised,轻工制造_denoised,0.4670857706983943
美容护理_denoised,环保_denoised,0.4670739082273598
交通运输_denoised,电子_denoised,0.466795844839756
家用电器_denoised,农林牧渔_denoised,0.46654668755879974
电子_denoised,传媒_denoised,0.46485895082792145
环保_denoised,煤炭_denoised,0.46371517605047763
综合_denoised,农林牧渔_denoised,0.4635855863166527
交通运输_denoised,有色金属_denoised,0.46323821637997875
轻工制造_denoised,农林牧渔_denoised,0.46235056697608684
电力设备_denoised,家用电器_denoised,0.4618668300922194
煤炭_denoised,建筑装饰_denoised,0.4601799272929776
国防军工_denoised,公用事业_denoised,0.4595132887681186
医药生物_denoised,有色金属_denoised,0.4594631790933284
计算机_denoised,医药生物_denoised,0.45832816319025793
环保_denoised,汽车_denoised,0.45694952393054383
轻工制造_denoised,钢铁_denoised,0.4557729055613041
环保_denoised,机械设备_denoised,0.4549827977769029
商贸零售_denoised,非银金融_denoised,0.45294582601707856
建筑材料_denoised,有色金属_denoised,0.4526341176751369
环保_denoised,家用电器_denoised,0.452592161887289
汽车_denoised,传媒_denoised,0.4512268604779485
纺织服饰_denoised,农林牧渔_denoised,0.4509628649277246
建筑装饰_denoised,电子_denoised,0.4497572724684939
计算机_denoised,国防军工_denoised,0.4468441366857668
通信_denoised,农林牧渔_denoised,0.4465074546839935
汽车_denoised,农林牧渔_denoised,0.44536530977937566
通信_denoised,汽车_denoised,0.4433343542620003
家用电器_denoised,基础化工_denoised,0.4411998975095999
美容护理_denoised,机械设备_denoised,0.4396885622864212
煤炭_denoised,交通运输_denoised,0.4389392332342037
建筑装饰_denoised,钢铁_denoised,0.4387262734498048
房地产_denoised,钢铁_denoised,0.4386699093968741
煤炭_denoised,轻工制造_denoised,0.43822396235989536
公用事业_denoised,钢铁_denoised,0.43805878715188257
石油石化_denoised,商贸零售_denoised,0.4380387493641469
国防军工_denoised,商贸零售_denoised,0.4379393442696099
机械设备_denoised,农林牧渔_denoised,0.43742724839463537
煤炭_denoised,电子_denoised,0.4373504016886291
钢铁_denoised,非银金融_denoised,0.43720389349320044
美容护理_denoised,综合_denoised,0.4360726548526709
房地产_denoised,家用电器_denoised,0.4355845047102572
美容护理_denoised,建筑装饰_denoised,0.4355835337895812
计算机_denoised,建筑材料_denoised,0.434213832550348
公用事业_denoised,医药生物_denoised,0.4340260677505255
美容护理_denoised,煤炭_denoised,0.4337337959784747
商贸零售_denoised,家用电器_denoised,0.4316587552735418
基础化工_denoised,非银金融_denoised,0.43102982572758747
轻工制造_denoised,非银金融_denoised,0.43095792920594395
煤炭_denoised,国防军工_denoised,0.43070487854468964
交通运输_denoised,农林牧渔_denoised,0.4291804261666776
石油石化_denoised,电力设备_denoised,0.4289612703584412
石油石化_denoised,食品饮料_denoised,0.42848581666643304
建筑材料_denoised,非银金融_denoised,0.42775400439576794
房地产_denoised,医药生物_denoised,0.4275549746205713
有色金属_denoised,钢铁_denoised,0.4270818591553842
国防军工_denoised,传媒_denoised,0.426741381576127
建筑材料_denoised,交通运输_denoised,0.4266007150882392
美容护理_denoised,国防军工_denoised,0.42620151367085035
交通运输_denoised,医药生物_denoised,0.42412394398098574
交通运输_denoised,钢铁_denoised,0.4207114103759541
通信_denoised,有色金属_denoised,0.420160643022203
建筑装饰_denoised,有色金属_denoised,0.4170820911839621
通信_denoised,机械设备_denoised,0.41686014231227625
机械设备_denoised,社会服务_denoised,0.416635545681384
钢铁_denoised,基础化工_denoised,0.4148267773775224
国防军工_denoised,农林牧渔_denoised,0.4139744510149727
社会服务_denoised,非银金融_denoised,0.4138341178300291
电子_denoised,非银金融_denoised,0.4132865946642079
机械设备_denoised,家用电器_denoised,0.413220388242697
建筑装饰_denoised,汽车_denoised,0.4122016171578368
机械设备_denoised,钢铁_denoised,0.41201888200407843
石油石化_denoised,国防军工_denoised,0.41201138401142795
建筑装饰_denoised,建筑材料_denoised,0.41151240369522396
医药生物_denoised,纺织服饰_denoised,0.4103216610671126
纺织服饰_denoised,钢铁_denoised,0.4103171883117678
通信_denoised,家用电器_denoised,0.4100901894003417
计算机_denoised,房地产_denoised,0.4096884829295891
机械设备_denoised,电子_denoised,0.4090559971736211
交通运输_denoised,汽车_denoised,0.4057349052763384
银行_denoised,社会服务_denoised,0.40478931907178195
建筑材料_denoised,汽车_denoised,0.40466805305652476
环保_denoised,医药生物_denoised,0.4040546666740759
建筑装饰_denoised,非银金融_denoised,0.4039540503370966
银行_denoised,房地产_denoised,0.40389237318563326
国防军工_denoised,非银金融_denoised,0.402914266537972
银行_denoised,纺织服饰_denoised,0.4028864036241165
机械设备_denoised,交通运输_denoised,0.4028362389223116
农林牧渔_denoised,传媒_denoised,0.4018326325987047
计算机_denoised,交通运输_denoised,0.3994777118136364
石油石化_denoised,轻工制造_denoised,0.3984701343934812
商贸零售_denoised,农林牧渔_denoised,0.39798135239241333
银行_denoised,基础化工_denoised,0.39747994707453604
美容护理_denoised,传媒_denoised,0.39693600427567605
通信_denoised,医药生物_denoised,0.3966403935987691
国防军工_denoised,纺织服饰_denoised,0.3964072870411565
国防军工_denoised,家用电器_denoised,0.39580247510829314
房地产_denoised,农林牧渔_denoised,0.3946963112560802
建筑装饰_denoised,银行_denoised,0.3943787385034555
国防军工_denoised,交通运输_denoised,0.3920456599691693
石油石化_denoised,纺织服饰_denoised,0.39145465427943094
商贸零售_denoised,医药生物_denoised,0.3914035264124264
计算机_denoised,汽车_denoised,0.390761318024783
商贸零售_denoised,钢铁_denoised,0.390140542942453
计算机_denoised,综合_denoised,0.3896649961628785
机械设备_denoised,医药生物_denoised,0.3881297669242211
美容护理_denoised,公用事业_denoised,0.3878716058990646
